,precision,recall,f1-score,support
positive,0.7792476229847044,0.8041808873720137,0.7915179508712996,2344.0
neutral,0.026415094339622643,0.3431372549019608,0.04905395935529082,102.0
negative,0.8863636363636364,0.4790174002047083,0.6219269102990034,1954.0
micro avg,0.595,0.649090909090909,0.6208695652173913,4400.0
macro avg,0.5640087845626545,0.5421118474928942,0.4874996068418646,4400.0
weighted avg,0.8093648439439396,0.649090909090909,0.6989924462320042,4400.0
